sigma,prevalence,n,info,anchor,lam,rel_mean,rel_median,rel_p90,share_worse,max_weight_p90
0.0,0.05,400,COR-2000,PPS-A,0.75,1.0078899356065356,1.006229994921541,1.0148133021548218,1.0,23476.05388323023
0.0,0.05,400,COR-2000,PPS-A,1.0,1.0147675554060047,1.0114520460553917,1.0272115818766208,1.0,28517.21477345128
0.0,0.05,400,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.05,400,COR-500,PPS-A,0.25,1.0044833783236593,1.0033233776432318,1.0112587479222777,0.98,20450.440552950226
0.0,0.05,400,COR-500,PPS-A,0.5,1.0202005222832242,1.013304330008069,1.0624236533243872,0.98,30660.899051053475
0.0,0.05,400,COR-500,PPS-A,0.75,1.06203862091389,1.0305344762861153,1.2697602647635864,0.98,61233.39809375068
0.0,0.05,400,COR-500,PPS-A,1.0,25.23126746729122,1.057973709936433,117.59715747267526,0.98,21298922.98670777
0.0,0.05,400,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.05,400,MIS-G-2000,PPS-A,0.25,1.0002860169842431,1.0002307252047946,1.0006140189192663,1.0,16493.597745881336
0.0,0.05,400,MIS-G-2000,PPS-A,0.5,1.001142939803973,1.0009225257160712,1.0024508531168852,1.0,17832.751928476537
0.0,0.05,400,MIS-G-2000,PPS-A,0.75,1.0025757465639524,1.002077493784932,1.005516925868297,1.0,19408.581687353668
0.0,0.05,400,MIS-G-2000,PPS-A,1.0,1.004598640249285,1.0037012388091497,1.0098726224392371,1.0,21289.9127090575
0.0,0.25,100,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.25,100,COR-10000,PPS-A,0.25,1.0000328207352966,1.000028175826457,1.0000651095199729,1.0,62956.550879758346
0.0,0.25,100,COR-10000,PPS-A,0.5,1.0001314739748095,1.0001126430871161,1.0002573944519078,1.0,64631.644871619035
0.0,0.25,100,COR-10000,PPS-A,0.75,1.000296409486746,1.0002537704840642,1.0005812363126523,1.0,66398.31702733246
0.0,0.25,100,COR-10000,PPS-A,1.0,1.0005283003942713,1.0004519984112243,1.0010372333571353,1.0,68264.28857406347
0.0,0.25,100,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.25,100,COR-2000,PPS-A,0.25,1.0001713846236775,1.0001405423260872,1.0003436016239051,1.0,64514.87916186577
0.0,0.25,100,COR-2000,PPS-A,0.5,1.000688507416201,1.0005684594242044,1.0014289944822865,1.0,68004.5759184302
0.0,0.25,100,COR-2000,PPS-A,0.75,1.0015602407559037,1.0012744734262635,1.0032388436663207,1.0,71893.77920709384
0.0,0.25,100,COR-2000,PPS-A,1.0,1.0028027735424696,1.0022613377113063,1.005908613512627,1.0,76255.34631855747
0.0,0.25,100,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.25,100,COR-500,PPS-A,0.25,1.0006625446433515,1.0005214909695463,1.0012612201426885,1.0,68398.85856279162
0.0,0.25,100,COR-500,PPS-A,0.5,1.0027045242728245,1.0020404273878902,1.0050969730309727,1.0,77252.37941109546
0.0,0.25,100,COR-500,PPS-A,0.75,1.006293334885763,1.0047669623297568,1.012171953584093,1.0,88738.9690955363
0.0,0.25,100,COR-500,PPS-A,1.0,1.0118413373740727,1.0085513514043212,1.0223796972808288,1.0,104238.65048328607
0.0,0.25,100,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.25,100,MIS-G-2000,PPS-A,0.25,1.0000572012003042,1.0000355804027823,1.0001414683712933,1.0,63263.386736865046
0.0,0.25,100,MIS-G-2000,PPS-A,0.5,1.0002289098349426,1.0001423026526715,1.0005657738417117,1.0,65281.74195248016
0.0,0.25,100,MIS-G-2000,PPS-A,0.75,1.0005155634974345,1.0003202644288602,1.0012741088348875,1.0,67433.12881006474
0.0,0.25,100,MIS-G-2000,PPS-A,1.0,1.000917987797018,1.0005696332433696,1.0022687783567967,1.0,69731.14789945396
0.0,0.25,400,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.25,400,COR-10000,PPS-A,0.25,1.0000342193559184,1.0000294222597574,1.000067996155978,1.0,15739.137719939587
0.0,0.25,400,COR-10000,PPS-A,0.5,1.0001370759562977,1.0001176592966106,1.000268953051366,1.0,16157.911217904759
0.0,0.25,400,COR-10000,PPS-A,0.75,1.0003090463703657,1.0002643500732074,1.0006073569776404,1.0,16599.579256833116
0.0,0.25,400,COR-10000,PPS-A,1.0,1.0005508438933355,1.0004710018129956,1.0010838944663079,1.0,17066.072143515867
0.0,0.25,400,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.25,400,COR-2000,PPS-A,0.25,1.0001786662178258,1.0001467878315116,1.0003587680775936,1.0,16128.719790466443
0.0,0.25,400,COR-2000,PPS-A,0.5,1.0007177998791554,1.0005934662572618,1.0014858513193339,1.0,17001.14397960755
0.0,0.25,400,COR-2000,PPS-A,0.75,1.0016268036455938,1.0013299431398734,1.0033875278396225,1.0,17973.44480177346
0.0,0.25,400,COR-2000,PPS-A,1.0,1.0029228350337709,1.0023556182198687,1.0061801385961275,1.0,19063.836579639366
0.0,0.25,400,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.25,400,COR-500,PPS-A,0.25,1.0006908650240467,1.0005441220026583,1.0013172889991826,1.0,17099.714640697905
0.0,0.25,400,COR-500,PPS-A,0.5,1.002821036722134,1.0021230516618584,1.005320538303606,1.0,19313.094852773866
0.0,0.25,400,COR-500,PPS-A,0.75,1.0065679361422122,1.004970679633939,1.0126659427482765,1.0,22184.742273884076
0.0,0.25,400,COR-500,PPS-A,1.0,1.0123686575976019,1.008910869579306,1.0232931943063648,1.0,26059.662620821517
0.0,0.25,400,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.0,0.25,400,MIS-G-2000,PPS-A,0.25,1.0000594494625101,1.0000369102115125,1.0001466729487625,1.0,15815.846684216262
0.0,0.25,400,MIS-G-2000,PPS-A,0.5,1.0002379168387936,1.0001479632853172,1.000586044376453,1.0,16320.43548812004
0.0,0.25,400,MIS-G-2000,PPS-A,0.75,1.00053586545866,1.000333215473657,1.001319341593111,1.0,16858.282202516184
0.0,0.25,400,MIS-G-2000,PPS-A,1.0,1.0009541696199302,1.0005927956076297,1.0023489696789327,1.0,17432.78697486349
0.0,0.7,100,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.7,100,COR-10000,PPS-A,0.25,1.0000114405162177,1.0000095900023722,1.0000202931869127,1.0,61906.56537280507
0.0,0.7,100,COR-10000,PPS-A,0.5,1.0000457891332406,1.0000384551716013,1.0000808707925437,1.0,62456.64153556645
0.0,0.7,100,COR-10000,PPS-A,0.75,1.0001030950065581,1.000086559636494,1.0001816346849532,1.0,63016.580952476055
0.0,0.7,100,COR-10000,PPS-A,1.0,1.0001834168807349,1.0001537514141439,1.0003233297203755,1.0,63586.651309289635
0.0,0.7,100,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.7,100,COR-2000,PPS-A,0.25,1.0000548625191288,1.0000475415099803,1.00010130816423,1.0,62785.45188994069
0.0,0.7,100,COR-2000,PPS-A,0.5,1.0002199520899027,1.0001898240457643,1.0004082834772166,1.0,64272.02240456258
0.0,0.7,100,COR-2000,PPS-A,0.75,1.000496212346755,1.0004252195839016,1.0009268956603186,1.0,65830.69571676369
0.0,0.7,100,COR-2000,PPS-A,1.0,1.0008848625976876,1.000752721905684,1.0016579458730708,1.0,67466.84803237068
0.0,0.7,100,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.0,0.7,100,COR-500,PPS-A,0.25,1.000256707467972,1.0002141154378597,1.000526437578657,1.0,63883.36424169936
