scenario_id,estimand,estimator,sampling_design,design_label,inference_method,anticipated_variance_rank,empirical_rmse_rank,interval_width_rank,coverage_lb90,coverage_lb90_ci,coverage_2s95,decision_metric_rank,weight_instability_rank,anticipated_variance,empirical_rmse,mean_width95,lb_shortfall,max_weight,rel_bias,material_undercoverage,notes
S6,rate,HT,CPS-RA-EST(COR-2000),CPS-RA-EST(COR-2000)/HT,Wald LB90/2s95; Deville approx var est,6.0,6.0,6.0,0.8891,"[0.883,0.895]",0.9487,6.0,13.0,742251.1435065682,860.4735768681733,3380.131380548732,1102.92330183626,3046.0453903492926,0.0001542892349498,False,
S7,dollars,HT,EQ-P,EQ-P/HT,Wald LB90/2s95; Poisson HT var est,14.0,14.0,14.0,0.925,"[0.920,0.930]",0.9315,12.0,1.0,839145341913.5194,925849.1640872116,3519253.1947991303,1140644.4462997932,50.0,0.0011908930265355,False,
S7,dollars,HT,PPS-A,PPS-A/HT,Wald LB90/2s95; Poisson HT var est,9.0,10.0,10.0,0.8976,"[0.892,0.903]",0.9468,8.0,10.0,195460916277.1717,446189.70057881856,1731517.6466905354,560316.8688873412,15341.523531702687,0.0006934260417413,False,
S7,dollars,HT,RA-OR,RA-OR/HT,Wald LB90/2s95; Poisson HT var est,6.0,6.0,7.0,0.9027,"[0.897,0.908]",0.9484,6.0,14.0,192370790281.87292,442215.04096489114,1718033.1625313023,557323.3150210875,42386.97933966651,0.0005234497223753,False,
S7,dollars,HT,RA-EST(COR-2000),RA-EST(COR-2000)/HT,Wald LB90/2s95; Poisson HT var est,7.0,7.0,8.0,0.9034,"[0.897,0.909]",0.9475,5.0,13.0,192439649274.13312,442462.5127944721,1718602.1688599312,557239.9683964206,42153.665391263115,0.0005558089633362,False,
S7,dollars,HT,DEF-0.5(COR-2000),DEF-0.5(COR-2000)/HT,Wald LB90/2s95; Poisson HT var est,11.0,11.0,11.0,0.9093,"[0.904,0.915]",0.9476,9.0,8.0,253906901438.0055,502452.7252541671,1972370.3975422692,642512.4468301871,99.88152687405787,0.0002786239987796,False,
S7,dollars,DIFF,EQ-P,EQ-P/DIFF(COR-2000),Wald LB90/2s95; residual var est,5.0,5.0,5.0,0.8393,"[0.832,0.846]",0.9292,,1.0,79893700088.8513,288240.5978608137,1078193.543202095,352367.550289296,50.0,1.5482302537548723e-05,True,material undercoverage of 90% LB: not ranked on decision metric
S7,dollars,DIFF,RA-EST,RA-EST/DIFF(COR-2000),Wald LB90/2s95; residual var est,1.0,1.0,1.0,0.8887,"[0.882,0.895]",0.946,1.0,11.0,25124883435.83974,158092.62630895968,620113.2410422144,202281.34331335305,26418.44064821973,5.451208627651547e-05,False,
S7,dollars,DIFF,DEF-0.5,DEF-0.5/DIFF(COR-2000),Wald LB90/2s95; residual var est,2.0,2.0,2.0,0.8857,"[0.879,0.892]",0.9477,2.0,6.0,31240750316.407825,176662.2143657507,692897.1645197643,227053.48266171027,99.81109571393378,-6.281858077231177e-05,False,
S7,dollars,HT,RA-EST(MIS-G-2000),RA-EST(MIS-G-2000)/HT,Wald LB90/2s95; Poisson HT var est,8.0,8.0,9.0,0.9031,"[0.897,0.909]",0.9464,7.0,12.0,192943218708.1893,442641.2700279356,1720071.756949247,557514.4971506415,33631.18704814318,0.0005805465700966,False,
S7,dollars,HT,DEF-0.5(MIS-G-2000),DEF-0.5(MIS-G-2000)/HT,Wald LB90/2s95; Poisson HT var est,12.0,12.0,12.0,0.909,"[0.903,0.914]",0.9484,10.0,7.0,254485235970.26703,502691.4419200989,1974249.139042923,642668.5143358409,99.85154916517895,0.0003336610761438,False,
S7,dollars,EXP,SRSWOR,SRSWOR/EXP,Wald LB90/2s95; SRSWOR/stratified var est,13.0,13.0,13.0,0.9291,"[0.924,0.934]",0.9355,11.0,1.0,668576321502.4221,810872.1628725778,3112130.0499579194,1026434.5406778348,50.0,-0.0010785454303481,False,
S7,dollars,DIFF,SRSWOR,SRSWOR/DIFF(COR-2000),Wald LB90/2s95; residual var est,4.0,4.0,4.0,0.8364,"[0.829,0.844]",0.9323,,1.0,79869407488.6922,287304.38546405296,1077438.009219795,353348.00814175507,50.0,-0.0001319706540438,True,material undercoverage of 90% LB: not ranked on decision metric
S7,dollars,EXP,ST-PROP,ST-PROP/EXP,Wald LB90/2s95; SRSWOR/stratified var est,10.0,9.0,6.0,0.9142,"[0.909,0.920]",0.9382,4.0,5.0,199890813507.25143,443807.680407338,1664166.1108661965,553516.3006669723,50.346666666666664,-0.0011347803199859,False,
S7,dollars,EXP,ST-EQD,ST-EQD/EXP,Wald LB90/2s95; SRSWOR/stratified var est,3.0,3.0,3.0,0.9056,"[0.900,0.911]",0.947,3.0,9.0,65032367757.80492,254334.59316042333,998200.2037355424,328087.034234883,158.675,-0.0002093851745049,False,
S7,rate,HT,EQ-P,EQ-P/HT,Wald LB90/2s95; Poisson HT var est,13.0,13.0,13.0,0.905,"[0.899,0.911]",0.9466,13.0,1.0,686000.0,835.4242036235244,3238.0045431070857,1063.833684698158,50.0,-0.0003747400129097,False,
S7,rate,HT,PPS-A,PPS-A/HT,Wald LB90/2s95; Poisson HT var est,14.0,14.0,14.0,0.9347,"[0.930,0.939]",0.9329,14.0,14.0,2263465.0555186267,1504.8301099764903,5708.051964328053,1878.2647161441216,15341.523531702687,-0.0008690692550889,False,
S7,rate,HT,RA-OR,RA-OR/HT,Wald LB90/2s95; Poisson HT var est,8.0,8.0,8.0,0.9107,"[0.905,0.916]",0.9485,8.0,11.0,661928.4770324772,814.4118428282648,3180.605499961633,1043.6071341288634,716.9731794270115,-0.0002699604050497,False,
S7,rate,HT,RA-EST(COR-2000),RA-EST(COR-2000)/HT,Wald LB90/2s95; Poisson HT var est,9.0,9.0,9.0,0.9091,"[0.903,0.915]",0.9463,9.0,12.0,662294.6634103791,814.7503225534639,3181.518723021277,1044.7977918854451,761.5113475873231,-0.0003339420105205,False,
