dgp,sigma,prevalence,n0,estimand,design_estimator,n_equal_precision
MAIN,0.0,0.7,100,rate,SRSWOR/EXP,100.0
MAIN,0.0,0.7,100,rate,ST-PROP/EXP,100.00000024053789
MAIN,0.0,0.7,100,rate,ST-EQD/EXP,225.97301748101214
MAIN,0.0,0.7,100,rate,PPS-A/HT,1356.3443048260233
MAIN,0.0,0.7,100,rate,RA-OR/HT,329.4892916042417
MAIN,0.0,0.7,100,rate,EQ-P/DIFF-OR,99.99999999999999
MAIN,0.0,0.7,100,rate,SRSWOR/DIFF-OR,100.0
MAIN,0.0,0.7,100,rate,RA-OR/DIFF-OR,99.99999999999999
MAIN,0.0,0.7,100,dollars,EQ-P/HT,123.08212530517973
MAIN,0.0,0.7,100,dollars,SRSWOR/EXP,100.0
MAIN,0.0,0.7,100,dollars,ST-PROP/EXP,22.03795855701015
MAIN,0.0,0.7,100,dollars,ST-EQD/EXP,14.887327578512625
MAIN,0.0,0.7,100,dollars,PPS-A/HT,33.14466264778609
MAIN,0.0,0.7,100,dollars,RA-OR/HT,33.14466264778609
MAIN,0.0,0.7,100,dollars,EQ-P/DIFF-OR,37.08439249735719
MAIN,0.0,0.7,100,dollars,SRSWOR/DIFF-OR,37.08439249735719
MAIN,0.0,0.7,100,dollars,RA-OR/DIFF-OR,10.0
MAIN,0.0,0.7,400,rate,EQ-P/HT,1273.8853503195953
MAIN,0.0,0.7,400,rate,SRSWOR/EXP,399.99999977766436
MAIN,0.0,0.7,400,rate,ST-PROP/EXP,399.9999999999999
MAIN,0.0,0.7,400,rate,ST-EQD/EXP,903.8920698496693
MAIN,0.0,0.7,400,rate,PPS-A/HT,4607.402636507778
MAIN,0.0,0.7,400,rate,RA-OR/HT,1273.8853503195953
MAIN,0.0,0.7,400,rate,EQ-P/DIFF-OR,399.9999997776643
MAIN,0.0,0.7,400,rate,SRSWOR/DIFF-OR,399.99999977766436
MAIN,0.0,0.7,400,rate,RA-OR/DIFF-OR,399.9999997776643
MAIN,0.0,0.7,400,dollars,EQ-P/HT,490.621277831735
MAIN,0.0,0.7,400,dollars,SRSWOR/EXP,399.99999977766436
MAIN,0.0,0.7,400,dollars,ST-PROP/EXP,196.54696912966324
MAIN,0.0,0.7,400,dollars,ST-EQD/EXP,60.012912498946456
MAIN,0.0,0.7,400,dollars,PPS-A/HT,132.11891418557454
MAIN,0.0,0.7,400,dollars,RA-OR/HT,132.11891418557454
MAIN,0.0,0.7,400,dollars,EQ-P/DIFF-OR,149.7579893124881
