mean_p,p10,p50,p90,cv_sqrt_p,corr_p_A,corr_p_logA,mean_p_G0,mean_p_G1,mean_p_G2,mean_p_S0,mean_p_S1,mean_p_S2,mean_p_S3,mean_p_S4,dgp,sigma,prevalence,alpha,realized_rate,realized_D,cv_A_sqrt_p
0.05,0.05000000000000001,0.05000000000000001,0.05000000000000001,1.2412670766236366e-16,-3.917275861463154e-17,-1.630348101400873e-16,0.05000000000000001,0.05000000000000002,0.05000000000000002,0.05,0.05000000000000002,0.05000000000000002,0.05,0.05000000000000002,MAIN,0.0,0.05,-2.9444389791664403,0.049,478002.7840393492,1.6472651632232171
0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.0,,,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,MAIN,0.0,0.25,-1.0986122886681093,0.247,2527474.506755437,1.647265163223217
0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,1.3269703217737498e-16,,,0.7000000000000001,0.7000000000000001,0.7,0.7000000000000002,0.7,0.7,0.7000000000000002,0.7,MAIN,0.0,0.7,0.8472978603872047,0.69795,7023897.684334695,1.6472651632232171
0.049999999999999996,0.01577268335020376,0.036945650276716854,0.09024327249051174,0.4002661782280606,0.26521287330008936,0.3180277872546008,0.03549888237808476,0.055604791740937486,0.12040350106317757,0.039835481409355084,0.05885931387044458,0.06951411070776395,0.07936001164652384,0.10557568396987958,MAIN,0.75,0.05,-3.223677412964762,0.0492,675717.7619312882,2.1422956359054623
0.25,0.10645493646180024,0.22191185003292213,0.42444170565965855,0.26895080842439717,0.33815814496231145,0.4485944010116198,0.20416619024789512,0.28669608580524697,0.41516258074187357,0.21175683314559257,0.2892386229710177,0.3234224378836144,0.3573192808106535,0.4166135092948427,MAIN,0.75,0.25,-1.2175750758670953,0.24985,3247392.272145333,1.927273408397211
0.7,0.5109224993419458,0.7143513488543591,0.8660650870900275,0.10298190919927318,0.33150556695761907,0.5128498509784406,0.6579549175787781,0.750414095736368,0.8008854918882806,0.6583654489836966,0.7503015696685067,0.7797289652047115,0.8076445509418715,0.8402913656051,MAIN,0.75,0.7,0.9535968781304062,0.6973,7852913.505495125,1.7249298640846444
0.049999999999999996,0.0031274472939342,0.017661046018543902,0.10730329836150615,0.8188193348439862,0.2263859695511724,0.2458079626746221,0.02250475697256198,0.053152927367947855,0.2060782473189826,0.033602582327555953,0.06206852186427568,0.08129437558712384,0.09894971924255022,0.15550450830720589,MAIN,1.5,0.05,-3.944605964902313,0.04905,839081.9501959048,2.71785036959214
0.25,0.03592192141091976,0.17595545462636136,0.5880702921461664,0.4801795639944143,0.34655911889702357,0.4433388178580317,0.17425157694250992,0.31381256561517695,0.5133927081862887,0.1865616181329661,0.31253514628357226,0.3719761387934988,0.43435732382694675,0.5318509165264224,MAIN,1.5,0.25,-1.4700246967892725,0.2512,3837470.446764583,2.125320342153188
0.7,0.34973963601143077,0.7550346675315098,0.9537188621473491,0.1887128233748497,0.3165584412850384,0.5119031174799671,0.6343954787707321,0.7883012086326198,0.8282878183018115,0.6312523379134362,0.7869620243901246,0.8319840560561707,0.872784739791053,0.9090738570315402,MAIN,1.5,0.7,1.1996159951788465,0.69715,8324461.167922506,1.75706723888804
0.05,0.05000000000000001,0.05000000000000001,0.05000000000000001,1.2412670766236366e-16,-3.917275861463154e-17,-1.630348101400873e-16,0.05000000000000001,0.05000000000000002,0.05000000000000002,0.05,0.05000000000000002,0.05000000000000002,0.05,0.05000000000000002,STRATCAP,0.0,0.05,-2.9444389791664403,0.049,478002.7840393492,1.6472651632232171
0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.0,,,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,STRATCAP,0.0,0.25,-1.0986122886681093,0.247,2527474.506755437,1.647265163223217
0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,1.3269703217737498e-16,,,0.7000000000000001,0.7000000000000001,0.7,0.7000000000000002,0.7,0.7,0.7000000000000002,0.7,STRATCAP,0.0,0.7,0.8472978603872047,0.69795,7023897.684334695,1.6472651632232171
0.05000000000000001,0.02285186235480039,0.02285186235480039,0.09525901355631687,0.4535841781783487,0.8914745109558301,0.7230360777272564,0.04986862499435846,0.04983449283555993,0.0512914644279706,0.022851862354800384,0.04727578059877813,0.09525901355631688,0.1826089313041219,0.32158605352935493,STRATCAP,0.75,0.05,-3.2847783605507446,0.04915,1293648.2135745012,2.668448407228309
0.25,0.15617908246209142,0.15617908246209142,0.45453086844948565,0.27898919782010406,0.8288243638665852,0.8032592436858035,0.24964127037173245,0.24927377106656545,0.25435540190590644,0.15617908246209142,0.28198052555340997,0.4545308684494857,0.6387396172857442,0.7895435417480402,STRATCAP,0.75,0.25,-1.2161096882198283,0.2501,4700298.651943307,2.192232752177145
0.7000000000000004,0.6193022643479117,0.6193022643479117,0.8798641502270929,0.07949262237343918,0.7241704369087205,0.8343071465028449,0.699638023786344,0.6994113317695483,0.7039592343027603,0.6193022643479117,0.7753665709329097,0.8798641502270926,0.939540808129497,0.9705651997345334,STRATCAP,0.75,0.7,0.9574150362298818,0.69545,8510690.288872927,1.7807445173196534
0.05,0.0052192822931651185,0.0052192822931651185,0.09612433942434002,1.0430933000291278,0.8858644049750989,0.6365628726054673,0.049768767118944866,0.049751120676001764,0.05214487775093456,0.005219282293165117,0.023076223265448507,0.09612433942434005,0.32377157733645984,0.6831019330632314,STRATCAP,1.5,0.05,-4.308507852930397,0.04935,2195540.102764722,3.3437134940868822
0.25,0.08828861504732877,0.08828861504732877,0.6624878849342871,0.4990555433613845,0.7778934289855829,0.8066704719614822,0.24947038749137443,0.24865806413120262,0.25724537484982024,0.08828861504732877,0.3036121442579253,0.662487884934287,0.8983439040011554,0.9754817578375781,STRATCAP,1.5,0.25,-1.393057736720717,0.24925,5984400.743887034,2.279882952695053
