dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh
MAIN,0.0,0.05,400,dollars,PPS-A,HT,12016448122.473976,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,11413962496.704485,
MAIN,0.0,0.05,400,dollars,RA-OR,HT,12016448122.473972,6.518257446423344e-05,0.7548035511562714,15341.523531702687,1.777477387660256,0.0,19.242976377272033,11413962496.704481,
MAIN,0.0,0.05,400,dollars,DEF-0.25-OR,HT,20932711428.66871,0.015016295643616057,0.20370088778906786,66.5943201794335,0.2762640542931927,0.0,19.764697284325294,20309953231.661373,
MAIN,0.0,0.05,400,dollars,DEF-0.5-OR,HT,15493705389.90725,0.010032591287232117,0.3874017755781357,99.67514586910768,0.5175741825262512,0.0,19.661460651845335,14882057882.448544,
MAIN,0.0,0.05,400,dollars,DEF-0.75-OR,HT,13019071852.894436,0.005048886930848175,0.5711026633672035,198.06345709389998,0.8337664922857715,0.0,19.48818433485122,12414211343.879528,
MAIN,0.0,0.05,400,dollars,EQ-P,DIFF-OR,44876882360.91945,0.02,0.02,50.0,0.0,0.0,19.798989873223334,44874638516.80139,
MAIN,0.0,0.05,400,dollars,SRSWOR,DIFF-OR,44876882360.91946,,,,,,,,
MAIN,0.0,0.05,400,dollars,RA-OR,DIFF-OR,11415625716.350273,6.518257446423343e-05,0.7548035511562712,15341.52353170269,1.7774773876602563,0.0,19.242976377272033,11413962496.704481,
MAIN,0.0,0.25,100,rate,EQ-P,HT,995000.0000000002,0.005,0.005,200.0,0.0,0.0,9.974968671630002,746212.6875000003,
MAIN,0.0,0.25,100,rate,SRSWOR,EXP,746250.0000000001,,,,,,,,
MAIN,0.0,0.25,100,rate,ST-PROP,EXP,746724.7834292763,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]"
MAIN,0.0,0.25,100,rate,ST-EQD,EXP,1691047.6312499996,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
MAIN,0.0,0.25,100,rate,PPS-A,HT,4154425.8636435317,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,3902199.290308915,
MAIN,0.0,0.25,100,rate,RA-OR,HT,995000.0000000002,0.005,0.005,200.0,0.0,0.0,9.974968671630002,746212.6875000003,
MAIN,0.0,0.25,100,rate,DEF-0.25-OR,HT,995000.0000000002,0.005,0.005,200.0,0.0,0.0,9.974968671630002,746212.6875000003,
MAIN,0.0,0.25,100,rate,DEF-0.5-OR,HT,995000.0000000002,0.005,0.005,200.0,0.0,0.0,9.974968671630002,746212.6875000003,
MAIN,0.0,0.25,100,rate,DEF-0.75-OR,HT,995000.0000000002,0.005,0.005,200.0,0.0,0.0,9.974968671630002,746212.6875000003,
MAIN,0.0,0.25,100,rate,EQ-P,DIFF-OR,746250.0000000001,0.005,0.005,200.0,0.0,0.0,9.974968671630002,746212.6875000001,
MAIN,0.0,0.25,100,rate,SRSWOR,DIFF-OR,746250.0000000001,,,,,,,,
MAIN,0.0,0.25,100,rate,RA-OR,DIFF-OR,746250.0000000001,0.005,0.005,200.0,0.0,0.0,9.974968671630002,746212.6875000001,
MAIN,0.0,0.25,100,dollars,EQ-P,HT,959237335104.5082,0.005,0.005,200.0,0.0,0.0,9.974968671630002,894623347619.6112,
