dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_fixed_equal_mean,rel_fixed_equal_median,rel_fixed_equal_p90,share_worse_than_equal,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_srswor_exp_mean,rel_srswor_exp_p90,rel_poisson_equal_mean,rel_poisson_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,min_pi_median
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,DEF-0.0,0.99995,0.99995,0.9999500000000002,0.0,3.7690563526389425,3.7684895771914872,3.771940182035906,1.0,0.9638800007516288,0.9646174971489345,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,DEF-0.25,0.45238431869974927,0.4523757420122909,0.4579367161946124,0.0,1.7051448688434367,1.7041937165907322,1.7267448474872082,1.0,0.43606539241889986,0.4415892651030576,0.4524656471640058,0.45801533411438866,266.3734635687731,266.43630910614684,0.27570586016777715,0.0037541277070391576
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,DEF-0.5,0.33880483969914643,0.3387555471235228,0.3424529498197579,0.0,1.2770369169467437,1.2760778753420503,1.2909500338171729,1.0,0.32658316281332617,0.33014123513828286,0.3388915172908154,0.3425285325383976,398.68348112346155,398.9651788193746,0.5166503113563876,0.002508255414078316
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,DEF-0.75,0.2870805748331405,0.2870418407322659,0.2891383898349065,0.0,1.0820762067410203,1.0813765752939442,1.0901378211775758,1.0,0.2767248662219108,0.27878650399066585,0.2871690751080285,0.28923563032991867,792.1525435120732,793.8230331982953,0.8321595199610392,0.0012623831211174736
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,RA-EST,0.2660722243373905,0.26598401591127646,0.26665645921096937,0.0,1.0028916793147082,1.0024900826579102,1.0054904376821414,1.0,0.25647460323453153,0.2571391969637818,0.26616089241652924,0.26672883428213445,60566.49003706778,77108.04670980964,1.7691722201322846,1.651082815663149e-05
MAIN,0.0,0.05,100,dollars,DIFF,COR-10000,SRSWOR,,,,0.0,3.7692448148796864,3.7686780110920433,3.772128788475331,1.0,0.9639281971614869,0.9646657304354563,0.9999396917165485,0.9999992968556363,,,,
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,DEF-0.0,0.99995,0.99995,0.9999500000000002,0.0,3.7833261027526395,3.7781454860770944,3.799878529250634,1.0,0.9675292767144797,0.9717623131492249,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,DEF-0.25,0.4529253533061952,0.4523329546908961,0.4652212276223764,0.0,1.7135866766528702,1.7083169078829292,1.75993865715208,1.0,0.4382242589776354,0.4500780873151014,0.4531194037531924,0.46572622187537366,266.3832889170261,266.5077289776119,0.2773201169176827,0.0037539892388359867
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,DEF-0.5,0.3397592177210519,0.3396211694371202,0.3482263455529357,0.0,1.2854419819774818,1.2836710808230647,1.3179839578330514,1.0,0.3287326329539021,0.33705475838197224,0.3399802946543804,0.3483224782143831,398.727504603835,399.28563204998346,0.5193926974952776,0.002507978477671974
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,DEF-0.75,0.2883857876800425,0.28870621184880485,0.29366392698485283,0.0,1.0910864607790172,1.0897772424367014,1.1120883269851412,1.0,0.2790291044333761,0.28440001877387694,0.28861784688327446,0.2939253493685631,792.4132978514854,795.7290492489666,0.837145935976923,0.0012619677165079612
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,RA-EST,0.2681512858976845,0.26747349522165254,0.27098049767904564,0.0,1.014554077372772,1.0113827727537328,1.0274559518741222,1.0,0.2594570877604266,0.26275654991767233,0.26838645820155344,0.2710678313037268,62668.61082533257,111800.74433820379,1.7935821237397596,1.5956955343948154e-05
MAIN,0.0,0.05,100,dollars,DIFF,COR-2000,SRSWOR,,,,0.0,3.7835152785165658,3.778334402797234,3.800068532677268,1.0,0.9675776555972597,0.9718109036944096,0.9997305967924451,0.9999955672148917,,,,
MAIN,0.0,0.05,100,dollars,DIFF,COR-500,DEF-0.0,0.99995,0.99995,0.9999500000000002,0.0,3.8728536610607978,3.816049935709079,4.017197210895222,1.0,0.9904246157318812,1.0273383277875483,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,DIFF,COR-500,DEF-0.25,0.462424126364022,0.45928409398170333,0.500693562384384,0.0,1.7883058541645094,1.7623922815610231,1.940204754996783,1.0,0.457332575261008,0.4961784557546417,0.46301978850593445,0.5024978991187102,266.4529956790169,266.66645391743447,0.2791887935696489,0.0037530071578240043
MAIN,0.0,0.05,100,dollars,DIFF,COR-500,DEF-0.5,0.35925882291480293,0.34604914444491736,0.45751671474167344,0.0,1.3893990026278564,1.327765145454543,1.8127850927708906,1.0,0.35531809195678027,0.463592775777723,0.35994571343012227,0.45827593356112745,399.04001897299946,399.99904262998626,0.5231852449422315,0.002506014315648009
MAIN,0.0,0.05,100,dollars,DIFF,COR-500,DEF-0.75,0.3313844973036749,0.294907872251432,0.6116165415368633,0.0,1.281738145148407,1.1309193113558342,2.42164226978045,1.0,0.3277854318744879,0.6192989264227535,0.3320845269194998,0.6121223178539001,794.2676289722161,799.9942558074799,0.8444708423788714,0.0012590214734720135
MAIN,0.0,0.05,100,dollars,DIFF,COR-500,RA-EST,6.0296978380114785,0.2739572276907477,28.126041296514014,0.115,23.202945608686782,1.0566629470221653,109.64807285708173,0.98,5.933807600165501,28.040860804296642,6.024562987161992,27.93636573282522,83135.88445310263,83791558.49883223,1.845386786866909,1.2028631296017852e-05
MAIN,0.0,0.05,100,dollars,DIFF,COR-500,SRSWOR,,,,0.0,3.87304731342647,3.8162407477464657,4.0173980807992615,1.0,0.9904741394388532,1.0273896972724121,0.9989676445462834,0.999984744081149,,,,
MAIN,0.0,0.05,100,dollars,DIFF,KS-2000,DEF-0.0,0.99995,0.99995,0.9999500000000002,0.0,3.7901095469182082,3.7820888014455765,3.811611499078639,1.0,0.9692640414820133,0.9747628453537163,1.0,1.0,200.0,200.0,0.0,0.005
