estimand,sigma,prevalence,info,oracle_gain_vs_bestconv,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,share_oracle_gain_recovered_median
dollars,0.75,0.05,COR-10000,0.138865056091841,0.863178438805232,0.862766042467286,0.8648937229700483,0.0,0.9882540748188782
dollars,0.75,0.05,COR-2000,0.138865056091841,0.8718185160058753,0.870130780444664,0.8820372567057194,0.0,0.9352188607438044
dollars,0.75,0.05,COR-500,0.138865056091841,4.171087381932133,0.9047956886868284,1.0014017668064654,0.105,0.6855886858260907
dollars,0.75,0.05,KS-2000,0.138865056091841,0.8751486085217955,0.8734311741448519,0.8856677131714036,0.0,0.9114519477919586
dollars,0.75,0.05,MIS-G-10000,0.138865056091841,0.8992211377823474,0.8988917790484574,0.9005200366875072,0.0,0.7281041307085404
dollars,0.75,0.05,MIS-G-2000,0.138865056091841,0.9023268160971234,0.9012729591157422,0.9074082652885777,0.0,0.7109566917897818
dollars,0.75,0.05,MIS-I-2000,0.138865056091841,0.877708768867971,0.8758701691943351,0.8872160164313712,0.0,0.8938881695591531
rate,0.75,0.05,COR-10000,0.1459719709988489,0.8561279429282977,0.8557382318234202,0.8578180075182233,0.0,0.9882840328141995
rate,0.75,0.05,COR-2000,0.1459719709988489,0.8649036743750357,0.8631296067260291,0.8753927908643973,0.0,0.9376484563262505
rate,0.75,0.05,COR-500,0.1459719709988489,3.481134994217431,0.9013641407703896,1.0096767427766309,0.11,0.6757178008536187
rate,0.75,0.05,KS-2000,0.1459719709988489,0.8683479167633159,0.8667189145518923,0.8787488201230611,0.0,0.9130594355621786
rate,0.75,0.05,MIS-G-10000,0.1459719709988489,0.8950768497243453,0.894707042390239,0.8963325902111722,0.0,0.7213231203858397
rate,0.75,0.05,MIS-G-2000,0.1459719709988489,0.8983370478135084,0.8972286573206301,0.9039882175608006,0.0,0.704048468867906
rate,0.75,0.05,MIS-I-2000,0.1459719709988489,0.8709976249835263,0.8696077574981966,0.8809781218775803,0.0,0.8932690406902268
dollars,0.75,0.25,COR-10000,0.076197214885935,0.9241815937955634,0.92411178390961,0.924504968275928,0.0,0.9959447494766366
dollars,0.75,0.25,COR-2000,0.076197214885935,0.925858531049911,0.92545851237739,0.9274959557790964,0.0,0.9782705015425623
dollars,0.75,0.25,COR-500,0.076197214885935,0.9357601291150598,0.932223865082467,0.9432087229585184,0.01,0.889483100123697
dollars,0.75,0.25,KS-2000,0.076197214885935,0.9265294892980132,0.9260429940930776,0.9287478291944044,0.0,0.9705998574571776
dollars,0.75,0.25,MIS-G-10000,0.076197214885935,0.9407571730290054,0.9406886092170406,0.940999067791816,0.0,0.7783931587492646
dollars,0.75,0.25,MIS-G-2000,0.076197214885935,0.9414136609359236,0.9411410631155216,0.9425479329347594,0.0,0.7724552265143616
dollars,0.75,0.25,MIS-I-2000,0.076197214885935,0.9288675355825358,0.9283983704698758,0.9311334612913784,0.0,0.9396882764981594
rate,0.75,0.25,COR-10000,0.077990293291159,0.9224474636917208,0.9223719361671474,0.9228681382869378,0.0,0.9953554545954314
rate,0.75,0.25,COR-2000,0.077990293291159,0.9243235305315656,0.9239872069442654,0.9261020870853884,0.0,0.974644277486663
rate,0.75,0.25,COR-500,0.077990293291159,0.9346262918477856,0.931747443375009,0.9428689365481588,0.01,0.8751416842373652
rate,0.75,0.25,KS-2000,0.077990293291159,0.9250676041116844,0.924521566718112,0.9274321049682718,0.0,0.9677926585056735
rate,0.75,0.25,MIS-G-10000,0.077990293291159,0.9426505139982412,0.9425926627711928,0.942939027716292,0.0,0.736083104784463
rate,0.75,0.25,MIS-G-2000,0.077990293291159,0.9434210101057128,0.943068407488752,0.94466828556368,0.0,0.7299830544130266
rate,0.75,0.25,MIS-I-2000,0.077990293291159,0.9276541769587462,0.9272883660393518,0.9297497629596798,0.0,0.9323164575006256
dollars,0.75,0.7,COR-10000,0.0258160555621986,0.9743650284703868,0.9743183708191598,0.9745301673768868,0.0,0.9947929155546412
dollars,0.75,0.7,COR-2000,0.0258160555621986,0.975105302374876,0.9748887337611976,0.9759666444265632,0.0,0.9726995736549253
dollars,0.75,0.7,COR-500,0.0258160555621986,0.9794999195937832,0.97729978808513,0.9863373119315758,0.02,0.8793059753136352
dollars,0.75,0.7,KS-2000,0.0258160555621986,0.975257358272184,0.9750709747605104,0.9762114936877476,0.0,0.9656403620385813
dollars,0.75,0.7,MIS-G-10000,0.0258160555621986,0.9787171232188232,0.9786946847090928,0.9787938197562258,0.0,0.8252738393584682
dollars,0.75,0.7,MIS-G-2000,0.0258160555621986,0.978999063824683,0.9788799996482912,0.979476164425746,0.0,0.8180955568841414
dollars,0.75,0.7,MIS-I-2000,0.0258160555621986,0.976060100700372,0.9759268688148156,0.976790131536064,0.0,0.9324868056308997
rate,0.75,0.7,COR-10000,0.0178616523574902,0.9823647769685112,0.9823337829385697,0.982561410182085,0.0,0.9890583865283942
rate,0.75,0.7,COR-2000,0.0178616523574902,0.9832885135733,0.9830406840744448,0.9843156368951465,0.0,0.949481917245098
rate,0.75,0.7,COR-500,0.0178616523574902,0.9881811046478692,0.9862421286722964,0.9945941238092706,0.035,0.7702462825022045
rate,0.75,0.7,KS-2000,0.0178616523574902,0.9834685788296196,0.9832532245733324,0.9847269582179844,0.0,0.9375826542523038
rate,0.75,0.7,MIS-G-10000,0.0178616523574902,0.9882386451406632,0.9882005382854002,0.988365055654342,0.0,0.6606030325997096
