dgp,sigma,prevalence,info,rep,n_pos,degenerate,rank_deficient,separated,sm_warning,converged,max_abs_beta,fallback,strata_all_pos,strata_all_neg
MAIN,0.0,0.05,COR-10000,61,472,False,False,False,,True,3.029757832537284,False,,
MAIN,0.0,0.05,COR-10000,62,443,False,False,False,,True,3.0475127122716517,False,,
MAIN,0.0,0.05,COR-10000,63,508,False,False,False,,True,2.933784159565305,False,,
MAIN,0.0,0.05,COR-10000,64,504,False,False,False,,True,2.9532419535525283,False,,
MAIN,0.0,0.05,COR-10000,65,483,False,False,False,,True,2.9795324076145433,False,,
MAIN,0.0,0.05,COR-10000,66,503,False,False,False,,True,2.9425957884655918,False,,
MAIN,0.0,0.05,COR-10000,67,534,False,False,False,,True,2.91235127114883,False,,
MAIN,0.0,0.05,COR-10000,68,514,False,False,False,,True,2.948806102926613,False,,
MAIN,0.0,0.05,COR-10000,69,497,False,False,False,,True,3.0126174460653465,False,,
MAIN,0.0,0.05,COR-10000,70,494,False,False,False,,True,2.986793703445737,False,,
MAIN,0.0,0.05,COR-10000,71,527,False,False,False,,True,2.9052471079567725,False,,
MAIN,0.0,0.05,COR-10000,72,481,False,False,False,,True,2.9757138627964124,False,,
MAIN,0.0,0.05,COR-10000,73,490,False,False,False,,True,2.9336098688138894,False,,
MAIN,0.0,0.05,COR-10000,74,433,False,False,False,,True,3.095932918641023,False,,
MAIN,0.0,0.05,COR-10000,75,504,False,False,False,,True,2.8882713777280475,False,,
MAIN,0.0,0.05,COR-10000,76,482,False,False,False,,True,3.0178241670704167,False,,
MAIN,0.0,0.05,COR-10000,77,484,False,False,False,,True,3.079575528261867,False,,
MAIN,0.0,0.05,COR-10000,78,501,False,False,False,,True,2.9661141705255365,False,,
MAIN,0.0,0.05,COR-10000,79,480,False,False,False,,True,3.0444138395118254,False,,
MAIN,0.0,0.05,COR-10000,80,491,False,False,False,,True,3.0402249262186896,False,,
MAIN,0.0,0.05,COR-10000,81,505,False,False,False,,True,2.9809780077088055,False,,
MAIN,0.0,0.05,COR-10000,82,503,False,False,False,,True,2.9075964860284236,False,,
MAIN,0.0,0.05,COR-10000,83,485,False,False,False,,True,2.92270891490678,False,,
MAIN,0.0,0.05,COR-10000,84,454,False,False,False,,True,3.0397817758069787,False,,
MAIN,0.0,0.05,COR-10000,85,485,False,False,False,,True,3.0038385272426606,False,,
MAIN,0.0,0.05,COR-10000,86,534,False,False,False,,True,2.925533461275849,False,,
MAIN,0.0,0.05,COR-10000,87,529,False,False,False,,True,2.8742009646236313,False,,
MAIN,0.0,0.05,COR-10000,88,519,False,False,False,,True,2.8664652951713676,False,,
MAIN,0.0,0.05,COR-10000,89,479,False,False,False,,True,2.9491116678661244,False,,
MAIN,0.0,0.05,COR-10000,90,549,False,False,False,,True,2.846695288989322,False,,
MAIN,0.0,0.05,COR-10000,91,488,False,False,False,,True,2.927385139816549,False,,
MAIN,0.0,0.05,COR-10000,92,519,False,False,False,,True,2.926459207216152,False,,
MAIN,0.0,0.05,COR-10000,93,490,False,False,False,,True,2.9392160126104154,False,,
MAIN,0.0,0.05,COR-10000,94,482,False,False,False,,True,2.966096092451376,False,,
MAIN,0.0,0.05,COR-10000,95,492,False,False,False,,True,2.9807294346443522,False,,
MAIN,0.0,0.05,COR-10000,96,554,False,False,False,,True,2.823319481814693,False,,
MAIN,0.0,0.05,COR-10000,97,475,False,False,False,,True,2.9272394268950617,False,,
MAIN,0.0,0.05,COR-10000,98,493,False,False,False,,True,2.965050689719513,False,,
MAIN,0.0,0.05,COR-10000,99,484,False,False,False,,True,3.008811079877743,False,,
MAIN,0.0,0.05,COR-10000,100,479,False,False,False,,True,2.9646876137153577,False,,
MAIN,0.0,0.05,COR-10000,101,493,False,False,False,,True,2.9233234042465925,False,,
MAIN,0.0,0.05,COR-10000,102,508,False,False,False,,True,2.952875928619889,False,,
MAIN,0.0,0.05,COR-10000,103,499,False,False,False,,True,2.9523893475611596,False,,
MAIN,0.0,0.05,COR-10000,104,518,False,False,False,,True,2.9201487560735293,False,,
MAIN,0.0,0.05,COR-10000,105,507,False,False,False,,True,2.9120784572664373,False,,
MAIN,0.0,0.05,COR-10000,106,507,False,False,False,,True,2.9373216305933427,False,,
MAIN,0.0,0.05,COR-10000,107,539,False,False,False,,True,2.854900137723423,False,,
MAIN,0.0,0.05,COR-10000,108,481,False,False,False,,True,2.9985758972499714,False,,
MAIN,0.0,0.05,COR-10000,109,487,False,False,False,,True,2.9510620538841867,False,,
MAIN,0.0,0.05,COR-10000,110,499,False,False,False,,True,2.923581464212538,False,,
MAIN,0.0,0.05,COR-10000,111,522,False,False,False,,True,2.884343387103495,False,,
MAIN,0.0,0.05,COR-10000,112,478,False,False,False,,True,2.9677313612295246,False,,
MAIN,0.0,0.05,COR-10000,113,464,False,False,False,,True,3.005430204134053,False,,
MAIN,0.0,0.05,COR-10000,114,498,False,False,False,,True,2.954528900505127,False,,
MAIN,0.0,0.05,COR-10000,115,484,False,False,False,,True,2.9456480385019757,False,,
MAIN,0.0,0.05,COR-10000,116,515,False,False,False,,True,2.9028631759518513,False,,
MAIN,0.0,0.05,COR-10000,117,512,False,False,False,,True,2.8794645473402602,False,,
MAIN,0.0,0.05,COR-10000,118,497,False,False,False,,True,3.0195741050155394,False,,
MAIN,0.0,0.05,COR-10000,119,480,False,False,False,,True,3.0161354091672066,False,,
MAIN,0.0,0.05,COR-10000,120,499,False,False,False,,True,2.9659902601188186,False,,
MAIN,0.0,0.05,COR-10000,121,497,False,False,False,,True,2.9192761067403676,False,,
MAIN,0.0,0.05,COR-10000,122,526,False,False,False,,True,2.913090458647296,False,,
MAIN,0.0,0.05,COR-10000,123,517,False,False,False,,True,2.929273505329498,False,,
MAIN,0.0,0.05,COR-10000,124,487,False,False,False,,True,3.012115201068188,False,,
MAIN,0.0,0.05,COR-10000,125,509,False,False,False,,True,2.9254115008367503,False,,
MAIN,0.0,0.05,COR-10000,126,519,False,False,False,,True,2.8869067191933704,False,,
MAIN,0.0,0.05,COR-10000,127,489,False,False,False,,True,2.975727371942978,False,,
MAIN,0.0,0.05,COR-10000,128,442,False,False,False,,True,3.0349395359215507,False,,
MAIN,0.0,0.05,COR-10000,129,483,False,False,False,,True,2.980626398641776,False,,
MAIN,0.0,0.05,COR-10000,130,475,False,False,False,,True,3.002440320185045,False,,
MAIN,0.0,0.05,COR-10000,131,501,False,False,False,,True,2.8760091836094763,False,,
MAIN,0.0,0.05,COR-10000,132,525,False,False,False,,True,2.911877712270755,False,,
MAIN,0.0,0.05,COR-10000,133,478,False,False,False,,True,3.0162347452809923,False,,
MAIN,0.0,0.05,COR-10000,134,502,False,False,False,,True,2.9140959264983795,False,,
MAIN,0.0,0.05,COR-10000,135,512,False,False,False,,True,2.922435450676824,False,,
MAIN,0.0,0.05,COR-10000,136,501,False,False,False,,True,2.9600623271184063,False,,
MAIN,0.0,0.05,COR-10000,137,532,False,False,False,,True,2.8618027347863233,False,,
MAIN,0.0,0.05,COR-10000,138,489,False,False,False,,True,2.965285227199556,False,,
MAIN,0.0,0.05,COR-10000,139,479,False,False,False,,True,2.9955419322842696,False,,
MAIN,0.0,0.05,COR-10000,140,463,False,False,False,,True,2.992106570286452,False,,
MAIN,0.0,0.05,COR-10000,141,478,False,False,False,,True,2.98616895143564,False,,
MAIN,0.0,0.05,COR-10000,142,531,False,False,False,,True,2.9226193600957275,False,,
MAIN,0.0,0.05,COR-10000,143,490,False,False,False,,True,2.922069578937371,False,,
MAIN,0.0,0.05,COR-10000,144,441,False,False,False,,True,3.1145334942132594,False,,
MAIN,0.0,0.05,COR-10000,145,490,False,False,False,,True,2.9531153916234127,False,,
MAIN,0.0,0.05,COR-10000,146,513,False,False,False,,True,2.909101270771181,False,,
MAIN,0.0,0.05,COR-10000,147,504,False,False,False,,True,2.973901426177046,False,,
MAIN,0.0,0.05,COR-10000,148,499,False,False,False,,True,2.876038951264229,False,,
MAIN,0.0,0.05,COR-10000,149,491,False,False,False,,True,2.9696434560010685,False,,
MAIN,0.0,0.05,COR-10000,150,505,False,False,False,,True,2.9239998893458945,False,,
MAIN,0.0,0.05,COR-10000,151,479,False,False,False,,True,2.9543046750131525,False,,
MAIN,0.0,0.05,COR-10000,152,491,False,False,False,,True,2.970318818395083,False,,
MAIN,0.0,0.05,COR-10000,153,551,False,False,False,,True,2.897428883256796,False,,
MAIN,0.0,0.05,COR-10000,154,525,False,False,False,,True,2.9162388383712043,False,,
MAIN,0.0,0.05,COR-10000,155,493,False,False,False,,True,2.978869021046303,False,,
MAIN,0.0,0.05,COR-10000,156,486,False,False,False,,True,2.942798710130522,False,,
MAIN,0.0,0.05,COR-10000,157,493,False,False,False,,True,2.947421934185462,False,,
MAIN,0.0,0.05,COR-10000,158,500,False,False,False,,True,2.9084328043413157,False,,
MAIN,0.0,0.05,COR-10000,159,492,False,False,False,,True,3.001039253268828,False,,
MAIN,0.0,0.05,COR-10000,160,498,False,False,False,,True,3.03377448228381,False,,
MAIN,0.0,0.05,COR-10000,161,486,False,False,False,,True,3.0233399145957067,False,,
MAIN,0.0,0.05,COR-10000,162,489,False,False,False,,True,2.95253790319963,False,,
MAIN,0.0,0.05,COR-10000,163,502,False,False,False,,True,2.9609086499781974,False,,
MAIN,0.0,0.05,COR-10000,164,475,False,False,False,,True,3.001243851226107,False,,
