estimand,n,design,R,mean,median,se,boot_lo,boot_hi,max,top1_share,top5_share,top10_share,mean_excl_top5,n_above_10
dollars,100,DEF-0.0,200,3.910100735446702,3.910100735446701,9.444194826291364e-17,3.910100735446702,3.910100735446702,3.910100735446701,0.004999999999999998,0.02499999999999999,0.049999999999999996,3.9101007354467017,0
dollars,100,DEF-0.25,200,1.799133830656881,1.7793034631650066,0.008282947739378219,1.7833854536100182,1.8157018153400808,2.520422291943868,0.007004543655942587,0.03054610826303294,0.05864399529261174,1.7888997886009752,0
dollars,100,DEF-0.5,200,1.3897586387397536,1.332285328849618,0.012807976140121906,1.3661022186625704,1.416013996639165,2.2539104514299035,0.008108999608283677,0.036008152091786996,0.06967389802639479,1.3740676905693718,0
dollars,100,DEF-0.75,200,1.2776148545144905,1.127928075465262,0.02911054298291438,1.2239009349012127,1.33697298721746,2.7226158714805724,0.010655072856503378,0.04975496841250984,0.09769631483334817,1.2451765823433527,0
dollars,100,RA-EST,200,23.86048357714341,1.054834448600367,4.773655441918677,14.948696141891377,33.626186601102965,283.4312636757889,0.05939344497344874,0.2729413731329639,0.520387308150383,17.792790180493697,23
dollars,400,DEF-0.0,200,4.0827657288700285,4.0827657288700285,0.0,4.0827657288700285,4.0827657288700285,4.0827657288700285,0.004999999999999999,0.024999999999999998,0.049999999999999996,4.0827657288700285,0
dollars,400,DEF-0.25,200,1.8459605483518906,1.8247857270964802,0.008767939798746884,1.82925925403196,1.8637936028647644,2.609994261251046,0.007069474652590218,0.030725694924238295,0.05892383358733632,1.8351201309754364,0
dollars,400,DEF-0.5,200,1.4125363384973944,1.351760147399332,0.013573142323435804,1.387276536350015,1.440043920961999,2.3278476896812887,0.008239956828854294,0.03647531484380292,0.07051242853524214,1.3959114162280915,0
dollars,400,DEF-0.75,200,1.29397386341366,1.1353730510578521,0.030855919029293882,1.235457851841075,1.3570582381074658,2.8250471996654403,0.010916167936393334,0.0509048741146079,0.09991655624283322,1.259594140296405,0
dollars,400,RA-EST,200,25.23126746729122,1.057973709936433,5.059977807319626,15.718369343619194,35.44311950112667,300.38183476796024,0.0595257125226394,0.27348118252279724,0.5214759714341024,18.801016003884552,23
rate,100,DEF-0.0,200,0.99995,0.9999500000000001,7.870162355242804e-18,0.99995,0.99995,0.9999500000000001,0.005,0.025,0.05,0.99995,0
rate,100,DEF-0.25,200,1.0041015452901083,1.0030175447523193,0.0002625934435549548,1.0036013693067325,1.0046259456353708,1.0240992696292481,0.005099580189040353,0.025327584865097872,0.050535181793263884,1.0037641827575352,0
rate,100,DEF-0.5,200,1.0185983565524113,1.012175287928052,0.0013507422483027237,1.0161045692172932,1.0213483535720487,1.1086997190176244,0.005442281110535923,0.02656922953089503,0.05272416141376666,1.0169589569409003,0
rate,100,DEF-0.75,200,1.0568526195097447,1.027724633045395,0.005426279624857531,1.046615553671718,1.0677302749305664,1.3597460637744139,0.00643299755648605,0.030705861165623405,0.060539151312386796,1.05066774328467,0
rate,100,RA-EST,200,23.267667177596856,1.053509165311135,4.598067088878841,14.62982642288893,32.5762752283078,244.15550428671776,0.05246669174505847,0.2547393210188898,0.49592841599693777,17.78510506572546,22
rate,400,DEF-0.0,200,0.99995,0.9999499999999999,7.870162355242804e-18,0.99995,0.99995,0.9999499999999999,0.004999999999999999,0.024999999999999998,0.049999999999999996,0.99995,0
rate,400,DEF-0.25,200,1.0041620097367039,1.0030620519170084,0.0002664296268492893,1.0036500630802778,1.0047004516020737,1.0244498530548418,0.00510101877546362,0.02533233742919194,0.05054295694304353,1.0038197321769005,0
rate,400,DEF-0.5,200,1.018871465907984,1.0123522077023357,0.0013707154478105445,1.0162727320790592,1.0216590078710763,1.110287924459539,0.005448616246555141,0.02659186787543967,0.052763688180353104,1.0172079697482086,0
rate,400,DEF-0.75,200,1.0576958241009837,1.0281255671380531,0.005507896966182563,1.0474136273855916,1.068858555338618,1.365080881624052,0.0064530881682564,0.030786743731812442,0.06068914489674389,1.051418270582747,0
rate,400,RA-EST,200,23.608450184880553,1.0542992076046886,4.668443841492084,14.774689509742174,33.15983701225673,247.87717314673685,0.05249755303833617,0.2548886810472104,0.4962183196851622,18.041972775064185,22
