scenario,estimand,design,draws,emp_over_HY,emp_over_HY_mcse,emp_over_AV,HY_over_AV
S2,rate,CPS-RA-OR/HT,10000,0.9949544756280433,0.014267589934480636,0.997678390670331,1.002737728317236
S2,rate,CPS-RA-EST(COR-2000)/HT,10000,1.0179089521935256,0.014313851714411102,1.0212067224192254,1.0032397497031469
S2,dollars,CPS-RA-OR/HT,10000,1.0063837264278532,0.014274108779763447,1.0033326267890323,0.9969682541969843
S2,dollars,CPS-RA-EST(COR-2000)/HT,10000,0.9799016817734149,0.013806415505400347,0.9773657513425605,0.9974120562521489
S5,rate,CPS-RA-OR/HT,10000,1.0109008089652791,0.01455103978120393,1.0174832460571748,1.006511456943667
S5,rate,CPS-RA-EST(COR-2000)/HT,10000,0.9978823000022053,0.01418469880594867,1.004954651483614,1.0070873603844792
S5,dollars,CPS-RA-OR/HT,10000,0.9971718275021462,0.01416490815006525,1.0072464124523375,1.0101031584249902
S5,dollars,CPS-RA-EST(COR-2000)/HT,10000,1.0273118300288822,0.014454715294593789,1.0376833132978072,1.0100957498646088
S6,rate,CPS-RA-OR/HT,10000,0.9899552460318911,0.01401088796384477,0.9965554596674625,1.0066671838570758
S6,rate,CPS-RA-EST(COR-2000)/HT,10000,0.9906284331595677,0.013837987097608372,0.997525949219587,1.006962768106726
S6,dollars,CPS-RA-OR/HT,10000,1.0242722357395866,0.014314077279184797,1.0369038894772848,1.0123323207414459
S6,dollars,CPS-RA-EST(COR-2000)/HT,10000,0.9949301356456546,0.013981751729893133,1.008482900433348,1.0136218255957223
