rule,estimand,n,design,R,mean,median,se,boot_lo,boot_hi,max,top1_share,top5_share,top10_share,mean_excl_top5,n_above_10,n_changed
archived,dollars,100,DEF-0.0,200,3.910100735446702,3.910100735446701,9.444194826291364e-17,3.910100735446702,3.910100735446702,3.910100735446701,0.004999999999999998,0.02499999999999999,0.049999999999999996,3.9101007354467017,0,21
archived,dollars,100,DEF-0.25,200,1.799133830656881,1.7793034631650066,0.008282947739378219,1.783476486607601,1.8155615810333423,2.520422291943868,0.007004543655942587,0.03054610826303294,0.05864399529261174,1.7888997886009752,0,21
archived,dollars,100,DEF-0.5,200,1.3897586387397536,1.332285328849618,0.012807976140121906,1.3654256203886461,1.4152205495247974,2.2539104514299035,0.008108999608283677,0.036008152091786996,0.06967389802639479,1.3740676905693718,0,21
archived,dollars,100,DEF-0.75,200,1.2776148545144905,1.127928075465262,0.02911054298291438,1.2225480995970741,1.3368484613570675,2.7226158714805724,0.010655072856503378,0.04975496841250984,0.09769631483334817,1.2451765823433527,0,21
archived,dollars,100,RA-EST,200,23.86048357714341,1.054834448600367,4.773655441918677,15.078886070110999,33.64503979531974,283.4312636757889,0.05939344497344874,0.2729413731329639,0.520387308150383,17.792790180493697,23,21
archived,dollars,400,DEF-0.0,200,4.0827657288700285,4.0827657288700285,0.0,4.0827657288700285,4.0827657288700285,4.0827657288700285,0.004999999999999999,0.024999999999999998,0.049999999999999996,4.0827657288700285,0,21
archived,dollars,400,DEF-0.25,200,1.8459605483518906,1.8247857270964802,0.008767939798746884,1.8291628063349235,1.8631091744427462,2.609994261251046,0.007069474652590218,0.030725694924238295,0.05892383358733632,1.8351201309754364,0,21
archived,dollars,400,DEF-0.5,200,1.4125363384973944,1.351760147399332,0.013573142323435804,1.3868565334673901,1.4396446183579885,2.3278476896812887,0.008239956828854294,0.03647531484380292,0.07051242853524214,1.3959114162280915,0,21
archived,dollars,400,DEF-0.75,200,1.29397386341366,1.1353730510578521,0.030855919029293882,1.2358015433036629,1.3561066650736529,2.8250471996654403,0.010916167936393334,0.0509048741146079,0.09991655624283322,1.259594140296405,0,21
archived,dollars,400,RA-EST,200,25.23126746729122,1.057973709936433,5.059977807319626,15.906886908033908,35.488750051577156,300.38183476796024,0.0595257125226394,0.27348118252279724,0.5214759714341024,18.801016003884552,23,21
archived,rate,100,DEF-0.0,200,0.99995,0.9999500000000001,7.870162355242804e-18,0.99995,0.99995,0.9999500000000001,0.005,0.025,0.05,0.99995,0,21
archived,rate,100,DEF-0.25,200,1.0041015452901083,1.0030175447523193,0.0002625934435549548,1.0036046322202004,1.0046425966547794,1.0240992696292481,0.005099580189040353,0.025327584865097872,0.050535181793263884,1.0037641827575352,0,21
archived,rate,100,DEF-0.5,200,1.0185983565524113,1.012175287928052,0.0013507422483027237,1.0160523293870252,1.0213112498967227,1.1086997190176244,0.005442281110535923,0.02656922953089503,0.05272416141376666,1.0169589569409003,0,21
