scenario,estimand,design,cov_lb90,wilson_lo,wilson_hi,learned,n_fits,cluster_se,cluster_lo,cluster_hi,fit_cov_min,fit_cov_p10,fit_cov_p50,design_effect
S4,rate,RA-EST/DIFF(COR-2000),0.9286,0.9233868580245143,0.9334839664795441,True,200.0,0.002684442429216706,0.9233384928387353,0.9338615071612647,0.82,0.88,0.94,1.086879250740835
S4,rate,DEF-0.5/DIFF(COR-2000),0.9233,0.9179200653020766,0.9283548297342462,True,200.0,0.002685443732458567,0.9180365302843813,0.9285634697156188,0.82,0.88,0.92,1.018342606779774
S4,rate,RA-EST(MIS-G-2000)/HT,0.9267,0.9214261803001957,0.9316461034512782,True,200.0,0.0024071814665839633,0.9219819243254954,0.9314180756745045,0.82,0.88,0.92,0.853050072800877
S4,rate,DEF-0.5(MIS-G-2000)/HT,0.9224,0.9169924858585595,0.9274831004002232,True,200.0,0.0026995625925239756,0.917108857318653,0.927691142681347,0.8,0.88,0.92,1.0181359853154768
S4,rate,SRSWOR/EXP,0.9086,0.9027937265590952,0.9140924584440738,False,,,,,,,,
S4,rate,SRSWOR/DIFF(COR-2000),0.9172,0.9116370895306712,0.9224424904578804,True,200.0,0.002708779695210728,0.911890791797387,0.9225092082026131,0.8,0.86,0.92,0.9661687530925257
S4,rate,ST-PROP/EXP,0.912,0.9062880190558067,0.9173955546625137,False,,,,,,,,
S4,rate,ST-EQD/EXP,0.9375,0.9325855267012678,0.9420784623806865,False,,,,,,,,
S4,dollars,EQ-P/HT,0.9574,0.9532629270597345,0.9611857783256047,False,,,,,,,,
S4,dollars,PPS-A/HT,0.9175,0.9119458775509496,0.9227334720301154,False,,,,,,,,
S4,dollars,RA-OR/HT,0.9241,0.9187447567110575,0.9291295239053009,False,,,,,,,,
S4,dollars,RA-EST(COR-2000)/HT,0.9255,0.9201883735758042,0.9304848318056164,True,200.0,0.002763500438459677,0.920083539140619,0.930916460859381,0.78,0.88,0.92,1.1076087546897309
S4,dollars,DEF-0.5(COR-2000)/HT,0.9257,0.920394647453256,0.9306784043231733,True,200.0,0.002627177249731645,0.9205507325905259,0.930849267409474,0.8,0.88,0.92,1.0035053028885388
S4,dollars,EQ-P/DIFF(COR-2000),0.9222,0.9167863852995854,0.9272893545641885,True,200.0,0.0029765920954192833,0.9163658794929782,0.9280341205070218,0.78,0.86,0.92,1.2349060928004068
S4,dollars,RA-EST/DIFF(COR-2000),0.9219,0.9164772535343857,0.926998716736875,True,200.0,0.002787616189524752,0.9164362722685315,0.9273637277314686,0.8,0.88,0.92,1.0792724900657487
S4,dollars,DEF-0.5/DIFF(COR-2000),0.9186,0.9130782819262843,0.9238002228273295,True,200.0,0.002758304045247758,0.9131937240713144,0.9240062759286856,0.78,0.88,0.92,1.017497677807718
S4,dollars,RA-EST(MIS-G-2000)/HT,0.9237,0.9183323900982483,0.9287421977280923,True,200.0,0.0027857407917453413,0.9182399480481791,0.9291600519518208,0.76,0.88,0.92,1.1010978780271488
S4,dollars,DEF-0.5(MIS-G-2000)/HT,0.9246,0.9192602742440399,0.9296136223598406,True,200.0,0.00273341504147188,0.9192425065187151,0.9299574934812849,0.8,0.88,0.92,1.0717313256323502
S4,dollars,SRSWOR/EXP,0.9577,0.9535761353393509,0.9614723396385015,False,,,,,,,,
S4,dollars,SRSWOR/DIFF(COR-2000),0.9189,0.913387169489392,0.9240911048567353,True,200.0,0.002771707381569205,0.9134674535321244,0.9243325464678757,0.76,0.86,0.92,1.0308741539393818
S4,dollars,ST-PROP/EXP,0.9462,0.9416039807851497,0.9504533264796915,False,,,,,,,,
S4,dollars,ST-EQD/EXP,0.9242,0.9188478549335571,0.9292263488803058,False,,,,,,,,
S5,rate,EQ-P/HT,0.9287,0.9234900799009046,0.9335806678006583,False,,,,,,,,
S5,rate,PPS-A/HT,0.9609,0.9569204921529295,0.9645255251450651,False,,,,,,,,
S5,rate,RA-OR/HT,0.9251,0.919775858190593,0.9300976544008099,False,,,,,,,,
S5,rate,RA-EST(COR-2000)/HT,0.9259,0.9206009321739549,0.9308719659974835,True,200.0,0.00257079656427232,0.9208612387340261,0.9309387612659737,0.82,0.88,0.92,0.9632813001981747
S5,rate,DEF-0.5(COR-2000)/HT,0.9226,0.9171985966319105,0.927676836021881,True,200.0,0.0027757383915078247,0.9171595527526446,0.9280404472473553,0.8,0.88,0.92,1.0789533144576868
S5,rate,EQ-P/DIFF(COR-2000),0.9091,0.9033074420098338,0.9145783589808575,True,200.0,0.0027410796391093228,0.9037274839073457,0.9144725160926543,0.8,0.86,0.92,0.9092174586211966
S5,rate,RA-EST/DIFF(COR-2000),0.92,0.9145199431631448,0.9251574863555314,True,200.0,0.0028461381752407614,0.9144215691765282,0.9255784308234719,0.8,0.86,0.92,1.1006117544242955
