scenario,dgp,sigma,prevalence,n,estimand,design,R,true_total,bias,rel_bias,mc_se_bias,emp_var,rmse,mean_var_hat,cov_lb90,cov_lb90_lo,cov_lb90_hi,cov_2s95,mean_lb_shortfall,mean_width95,mean_size,sd_size,zero_error_freq,var_estimator
S7,MAIN,1.5,0.7,400,rate,ST-PROP/EXP,10000,13943.0,-3.5437283186201967,-0.0002541582384436776,4.4421276695570535,197324.9823264438,444.2046913739288,198067.80366219406,0.8967,0.8905815964748323,0.9025137280253077,0.9482,573.7633134743132,1744.1511995806388,400.0,0.0,0.0,
S7,MAIN,1.5,0.7,400,rate,ST-EQD/EXP,10000,13943.0,-10.728124999999636,-0.0007694273111955559,7.198682941555714,518210.3609304524,719.9122394850466,506258.4123429763,0.8903,0.8840241594233761,0.8962760804364792,0.9449,922.1849540437026,2787.9058578959184,400.0,0.0,0.0,
S7,MAIN,1.5,0.7,400,dollars,EQ-P/HT,10000,8324461.167922506,9913.542754544877,0.001190893026535548,9258.423811440662,857184114722.5144,925849.1640872116,831681359706.5027,0.925,0.9196727360590174,0.930000853334881,0.9315,1140644.4462997932,3519253.1947991303,400.2137,19.891576918635685,0.0,
S7,MAIN,1.5,0.7,400,dollars,PPS-A/HT,10000,8324461.167922506,5772.39815730229,0.0006934260417413754,4461.7466927838905,199071835505.67987,446189.70057881856,195263060051.59146,0.8976,0.8915042932287225,0.9033903400489574,0.9468,560316.8688873412,1731517.6466905354,400.155,19.3990147945714,0.0,
S7,MAIN,1.5,0.7,400,dollars,RA-OR/HT,10000,8324461.167922506,4357.436887273565,0.0005234497223753677,4422.156834288228,195554710670.42084,442215.04096489114,192243309407.7619,0.9027,0.8967356446977566,0.9083550716526501,0.9484,557323.3150210875,1718033.1625313023,400.169,19.315393834970077,0.0,
S7,MAIN,1.5,0.7,400,dollars,RA-EST(COR-2000)/HT,10000,8324461.167922506,4626.8101320760325,0.0005558089633362687,4424.60444538151,195771244980.89822,442462.5127944721,192376621851.4907,0.9034,0.8974540473894494,0.9090361313434885,0.9475,557239.9683964206,1718602.1688599312,400.1807,19.312536019642785,0.0,
S7,MAIN,1.5,0.7,400,dollars,DEF-0.5(COR-2000)/HT,10000,8324461.167922506,2319.3946582926437,0.0002786239987796692,5024.724961474976,252478609384.69702,502452.7252541671,253457337383.0086,0.9093,0.903512942582495,0.9147727048032053,0.9476,642512.4468301871,1972370.3975422692,400.1179,19.67219356325064,0.0,
S7,MAIN,1.5,0.7,400,dollars,EQ-P/DIFF(COR-2000),10000,8324461.167922506,128.88182626385242,1.5482302537548723e-05,2882.549821566108,83090934738.10802,288240.5978608137,82640346833.46472,0.8393,0.8319717287615852,0.8463676803710024,0.9292,352367.550289296,1078193.543202095,400.2137,19.891576918635685,0.0,
S7,MAIN,1.5,0.7,400,dollars,RA-EST/DIFF(COR-2000),10000,8324461.167922506,453.78374539129436,5.451208627651547e-05,1580.9988023648173,24995572130.789864,158092.62630895968,25138905558.87043,0.8887,0.882385846558617,0.8947156221411674,0.946,202281.34331335302,620113.2410422144,400.4265,19.35753594210792,0.0,
S7,MAIN,1.5,0.7,400,dollars,DEF-0.5/DIFF(COR-2000),10000,8324461.167922506,-522.9308362631127,-6.281858077231177e-05,1766.7027414516456,31212385766.527596,176662.2143657507,31478419392.15394,0.8857,0.8793150893988609,0.8917886833757899,0.9477,227053.48266171027,692897.1645197643,400.0961,19.657346331333738,0.0,
